id,last_name,first_name,last_name_kana,first_name_kana,birth_date,enrollment_date,withdrawal_date,status,classroom_id,family_id,home_address,home_phone,older_sibling_id,extra_data,created_at,updated_at
81,青木,朝陽,アオキ,アサヒ,2020-10-24,2024-04-01,,enrolled,6,1,東京都サンプル区架空町2-4-101,03-0000-0001,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
37,青木,花音,アオキ,カノン,2022-08-11,2024-04-01,,enrolled,4,1,東京都サンプル区架空町2-4-101,03-0000-0001,81,"{""allergy"":[],""medical_notes"":""熱性けいれん既往。発熱時は保護者へ早めに連絡。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
82,石井,花音,イシイ,カノン,2020-06-11,2024-04-01,,enrolled,6,2,東京都サンプル区若葉町3-7-102,03-0000-0002,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
19,石井,新,イシイ,アラタ,2024-02-11,2025-04-01,,enrolled,3,2,東京都サンプル区若葉町3-7-102,03-0000-0002,82,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
59,井上,莉子,イノウエ,リコ,2021-10-14,2025-04-01,,enrolled,5,3,東京都サンプル区青葉台4-10-103,03-0000-0003,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
20,井上,陽菜,イノウエ,ヒナ,2023-06-01,2025-04-01,,enrolled,3,3,東京都サンプル区青葉台4-10-103,03-0000-0003,59,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
60,遠藤,結月,エンドウ,ユヅキ,2021-10-14,2025-04-01,,enrolled,5,4,東京都サンプル区中央5-1-104,03-0000-0004,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
7,遠藤,陽翔,エンドウ,ハルト,2025-03-04,2026-04-01,,enrolled,2,4,東京都サンプル区中央5-1-104,03-0000-0004,60,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
38,岡田,一花,オカダ,イチカ,2022-12-10,2024-04-01,,enrolled,4,5,東京都サンプル区南町6-4-105,03-0000-0005,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
8,岡田,蓮,オカダ,レン,2025-02-02,2026-04-01,,enrolled,2,5,東京都サンプル区南町6-4-105,03-0000-0005,38,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
39,小川,律,オガワ,リツ,2022-08-30,2024-04-01,,enrolled,4,6,東京都サンプル区北町7-7-106,03-0000-0006,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
1,小川,葵,オガワ,アオイ,2025-11-29,2026-04-01,,enrolled,1,6,東京都サンプル区北町7-7-106,03-0000-0006,39,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
21,加藤,葵,カトウ,アオイ,2023-09-24,2025-04-01,,enrolled,3,7,東京都サンプル区架空町8-10-107,03-0000-0007,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
2,加藤,凛,カトウ,リン,2025-11-21,2026-04-01,,enrolled,1,7,東京都サンプル区架空町8-10-107,03-0000-0007,21,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
61,木村,颯太,キムラ,ソウタ,2022-02-08,2025-04-01,,enrolled,5,8,東京都サンプル区若葉町9-1-108,03-0000-0008,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
3,木村,紬,キムラ,ツムギ,2026-01-29,2026-04-01,,enrolled,1,8,東京都サンプル区若葉町9-1-108,03-0000-0008,61,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
83,小林,一花,コバヤシ,イチカ,2021-01-22,2024-04-01,,enrolled,6,9,東京都サンプル区青葉台1-4-109,03-0000-0009,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
40,小林,碧,コバヤシ,アオ,2022-06-09,2024-04-01,,enrolled,4,9,東京都サンプル区青葉台1-4-109,03-0000-0009,83,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
84,斎藤,律,サイトウ,リツ,2020-08-15,2024-04-01,,enrolled,6,10,東京都サンプル区中央2-7-110,03-0000-0010,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
22,斎藤,凛,サイトウ,リン,2023-07-15,2025-04-01,,enrolled,3,10,東京都サンプル区中央2-7-110,03-0000-0010,84,"{""allergy"":[""キウイ""],""medical_notes"":""生活管理指導表あり。給食前に除去内容を確認。""}",2026-04-01T09:00:00,2026-05-15T09:00:00
62,佐々木,新,ササキ,アラタ,2021-12-14,2025-04-01,,enrolled,5,11,東京都サンプル区南町3-10-111,03-0000-0011,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
23,佐々木,紬,ササキ,ツムギ,2024-01-23,2025-04-01,,enrolled,3,11,東京都サンプル区南町3-10-111,03-0000-0011,62,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
63,佐藤,陽菜,サトウ,ヒナ,2021-11-29,2025-04-01,,enrolled,5,12,東京都サンプル区北町4-1-112,03-0000-0012,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
9,佐藤,大和,サトウ,ヤマト,2024-10-18,2026-04-01,,enrolled,2,12,東京都サンプル区北町4-1-112,03-0000-0012,63,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
41,清水,結菜,シミズ,ユイナ,2022-06-26,2024-04-01,,enrolled,4,13,東京都サンプル区架空町5-4-113,03-0000-0013,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
10,清水,朝陽,シミズ,アサヒ,2024-09-09,2026-04-01,,enrolled,2,13,東京都サンプル区架空町5-4-113,03-0000-0013,41,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
42,鈴木,美咲,スズキ,ミサキ,2023-03-23,2024-04-01,,enrolled,4,14,東京都サンプル区若葉町6-7-114,03-0000-0014,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
4,鈴木,悠真,スズキ,ユウマ,2025-04-21,2026-04-01,,enrolled,1,14,東京都サンプル区若葉町6-7-114,03-0000-0014,42,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
24,高橋,悠真,タカハシ,ユウマ,2023-04-17,2025-04-01,,enrolled,3,15,東京都サンプル区青葉台7-10-115,03-0000-0015,,"{""allergy"":[],""medical_notes"":""""}",2026-04-01T09:00:00,2026-05-15T09:00:00
