ID,保護者ID,保護者メールアドレス,園児ID,園児姓カナ,園児名カナ,園児生年月日,続柄,主連絡先
,,parent001-1@demo.open-hoikuict.example,,アオキ,アサヒ,2020-10-24,母,true
,,parent001-1@demo.open-hoikuict.example,,アオキ,カノン,2022-08-11,母,true
,,parent001-2@demo.open-hoikuict.example,,アオキ,アサヒ,2020-10-24,父,false
,,parent001-2@demo.open-hoikuict.example,,アオキ,カノン,2022-08-11,父,false
,,parent002-1@demo.open-hoikuict.example,,イシイ,カノン,2020-06-11,母,true
,,parent002-1@demo.open-hoikuict.example,,イシイ,アラタ,2024-02-11,母,true
,,parent002-2@demo.open-hoikuict.example,,イシイ,カノン,2020-06-11,父,false
,,parent002-2@demo.open-hoikuict.example,,イシイ,アラタ,2024-02-11,父,false
,,parent003-1@demo.open-hoikuict.example,,イノウエ,リコ,2021-10-14,母,true
,,parent003-1@demo.open-hoikuict.example,,イノウエ,ヒナ,2023-06-01,母,true
,,parent003-2@demo.open-hoikuict.example,,イノウエ,リコ,2021-10-14,父,false
,,parent003-2@demo.open-hoikuict.example,,イノウエ,ヒナ,2023-06-01,父,false
,,parent004-1@demo.open-hoikuict.example,,エンドウ,ユヅキ,2021-10-14,母,true
,,parent004-1@demo.open-hoikuict.example,,エンドウ,ハルト,2025-03-04,母,true
,,parent004-2@demo.open-hoikuict.example,,エンドウ,ユヅキ,2021-10-14,父,false
,,parent004-2@demo.open-hoikuict.example,,エンドウ,ハルト,2025-03-04,父,false
,,parent005-1@demo.open-hoikuict.example,,オカダ,イチカ,2022-12-10,母,true
,,parent005-1@demo.open-hoikuict.example,,オカダ,レン,2025-02-02,母,true
,,parent005-2@demo.open-hoikuict.example,,オカダ,イチカ,2022-12-10,父,false
,,parent005-2@demo.open-hoikuict.example,,オカダ,レン,2025-02-02,父,false
,,parent006-1@demo.open-hoikuict.example,,オガワ,リツ,2022-08-30,母,true
,,parent006-1@demo.open-hoikuict.example,,オガワ,アオイ,2025-11-29,母,true
,,parent006-2@demo.open-hoikuict.example,,オガワ,リツ,2022-08-30,父,false
,,parent006-2@demo.open-hoikuict.example,,オガワ,アオイ,2025-11-29,父,false
,,parent007-1@demo.open-hoikuict.example,,カトウ,アオイ,2023-09-24,母,true
,,parent007-1@demo.open-hoikuict.example,,カトウ,リン,2025-11-21,母,true
,,parent008-1@demo.open-hoikuict.example,,キムラ,ソウタ,2022-02-08,母,true
,,parent008-1@demo.open-hoikuict.example,,キムラ,ツムギ,2026-01-29,母,true
,,parent008-2@demo.open-hoikuict.example,,キムラ,ソウタ,2022-02-08,父,false
,,parent008-2@demo.open-hoikuict.example,,キムラ,ツムギ,2026-01-29,父,false
,,parent009-1@demo.open-hoikuict.example,,コバヤシ,イチカ,2021-01-22,母,true
,,parent009-1@demo.open-hoikuict.example,,コバヤシ,アオ,2022-06-09,母,true
,,parent009-2@demo.open-hoikuict.example,,コバヤシ,イチカ,2021-01-22,父,false
,,parent009-2@demo.open-hoikuict.example,,コバヤシ,アオ,2022-06-09,父,false
,,parent010-1@demo.open-hoikuict.example,,サイトウ,リツ,2020-08-15,母,true
,,parent010-1@demo.open-hoikuict.example,,サイトウ,リン,2023-07-15,母,true
,,parent010-2@demo.open-hoikuict.example,,サイトウ,リツ,2020-08-15,父,false
,,parent010-2@demo.open-hoikuict.example,,サイトウ,リン,2023-07-15,父,false
,,parent011-1@demo.open-hoikuict.example,,ササキ,アラタ,2021-12-14,母,true
,,parent011-1@demo.open-hoikuict.example,,ササキ,ツムギ,2024-01-23,母,true
,,parent011-2@demo.open-hoikuict.example,,ササキ,アラタ,2021-12-14,父,false
,,parent011-2@demo.open-hoikuict.example,,ササキ,ツムギ,2024-01-23,父,false
,,parent012-1@demo.open-hoikuict.example,,サトウ,ヒナ,2021-11-29,母,true
,,parent012-1@demo.open-hoikuict.example,,サトウ,ヤマト,2024-10-18,母,true
,,parent012-2@demo.open-hoikuict.example,,サトウ,ヒナ,2021-11-29,父,false
,,parent012-2@demo.open-hoikuict.example,,サトウ,ヤマト,2024-10-18,父,false
,,parent013-1@demo.open-hoikuict.example,,シミズ,ユイナ,2022-06-26,母,true
,,parent013-1@demo.open-hoikuict.example,,シミズ,アサヒ,2024-09-09,母,true
,,parent013-2@demo.open-hoikuict.example,,シミズ,ユイナ,2022-06-26,父,false
,,parent013-2@demo.open-hoikuict.example,,シミズ,アサヒ,2024-09-09,父,false
,,parent014-1@demo.open-hoikuict.example,,スズキ,ミサキ,2023-03-23,母,true
,,parent014-1@demo.open-hoikuict.example,,スズキ,ユウマ,2025-04-21,母,true
,,parent015-1@demo.open-hoikuict.example,,タカハシ,ユウマ,2023-04-17,母,true
,,parent015-1@demo.open-hoikuict.example,,タカハシ,ミナト,2025-06-10,母,true
,,parent015-2@demo.open-hoikuict.example,,タカハシ,ユウマ,2023-04-17,父,false
,,parent015-2@demo.open-hoikuict.example,,タカハシ,ミナト,2025-06-10,父,false
,,parent016-1@demo.open-hoikuict.example,,タナカ,アオイ,2021-05-10,母,true
,,parent016-1@demo.open-hoikuict.example,,タナカ,ソウ,2025-08-01,母,true
,,parent016-2@demo.open-hoikuict.example,,タナカ,アオイ,2021-05-10,父,false
,,parent016-2@demo.open-hoikuict.example,,タナカ,ソウ,2025-08-01,父,false
,,parent017-1@demo.open-hoikuict.example,,ナカムラ,カノン,2024-12-19,母,true
,,parent017-2@demo.open-hoikuict.example,,ナカムラ,カノン,2024-12-19,父,false
,,parent018-1@demo.open-hoikuict.example,,ハシモト,イチカ,2025-01-09,母,true
,,parent018-2@demo.open-hoikuict.example,,ハシモト,イチカ,2025-01-09,父,false
,,parent019-1@demo.open-hoikuict.example,,ハヤシ,リツ,2024-11-03,母,true
,,parent019-2@demo.open-hoikuict.example,,ハヤシ,リツ,2024-11-03,父,false
,,parent020-1@demo.open-hoikuict.example,,フジイ,アオ,2024-08-08,母,true
,,parent020-2@demo.open-hoikuict.example,,フジイ,アオ,2024-08-08,父,false
,,parent021-1@demo.open-hoikuict.example,,マツモト,ユイナ,2024-06-08,母,true
,,parent022-1@demo.open-hoikuict.example,,ミウラ,ミサキ,2024-05-15,母,true
,,parent022-2@demo.open-hoikuict.example,,ミウラ,ミサキ,2024-05-15,父,false
,,parent023-1@demo.open-hoikuict.example,,モリ,サクラ,2024-09-21,母,true
,,parent023-2@demo.open-hoikuict.example,,モリ,サクラ,2024-09-21,父,false
,,parent024-1@demo.open-hoikuict.example,,ヤマグチ,コトネ,2024-08-06,母,true
,,parent024-2@demo.open-hoikuict.example,,ヤマグチ,コトネ,2024-08-06,父,false
,,parent025-1@demo.open-hoikuict.example,,ヤマダ,ミナト,2023-04-10,母,true
,,parent025-2@demo.open-hoikuict.example,,ヤマダ,ミナト,2023-04-10,父,false
,,parent026-1@demo.open-hoikuict.example,,ヨシダ,ソウ,2023-08-03,母,true
,,parent026-2@demo.open-hoikuict.example,,ヨシダ,ソウ,2023-08-03,父,false
,,parent027-1@demo.open-hoikuict.example,,ワタナベ,イツキ,2023-09-23,母,true
,,parent027-2@demo.open-hoikuict.example,,ワタナベ,イツキ,2023-09-23,父,false
,,parent028-1@demo.open-hoikuict.example,,ハセガワ,リコ,2023-07-16,母,true
,,parent029-1@demo.open-hoikuict.example,,コンドウ,ユヅキ,2024-02-22,母,true
,,parent029-2@demo.open-hoikuict.example,,コンドウ,ユヅキ,2024-02-22,父,false
,,parent030-1@demo.open-hoikuict.example,,ムラカミ,ソウタ,2024-03-10,母,true
,,parent030-2@demo.open-hoikuict.example,,ムラカミ,ソウタ,2024-03-10,父,false
,,parent031-1@demo.open-hoikuict.example,,アオキ,アラタ,2023-11-19,母,true
,,parent031-2@demo.open-hoikuict.example,,アオキ,アラタ,2023-11-19,父,false
,,parent032-1@demo.open-hoikuict.example,,イシイ,ヒナ,2023-10-14,母,true
